tweet_client_name,count
Twitter for BlackBerry,118
Moments Internal Auth,111
erased5618418,106
Tumblr,101
Tweetr,101
جدولي تغريداتي iOS,97
Twitter Dashboard for iPhone,95
Tweepsmap,89
travel in georgia1122110,86
RoundTeam,85
unfalert.com,82
tweetaat تويتات,78
erased_234897,74
أيه للذكرى,69
iOS,69
Twitter Ads,68
WordPress.com,68
Vine Site Tw,61
tvtag.com,60
erased14289698,60
agwan_bent,59
leilaja56093132,56
مرحبا بكم,53
Twibbon,50
Twitter for Windows,42
almjala,37
salvaanton,37
m2,35
ather_elmary,32
Retwetly_1,32
soha_elrawy,31
Twitter for Advertisers,30
Gharedli,30
Follower Plus ,28
m5,28
erased5434447,26
Periscope,25
Shorty Awards,23
post munasher,23
 Tweedle,21
Favstar.FM,21
Nimbuzz Mobile,16
Twittawy | تويتاوي,15
RoxRoxvcvrankgg,12
WhoUnfollowedMe Org,11
Twittimer,11
YouNow,11
Find Unfollowers On Twitter P...,10
Twitition,9
Keek,8
erased40502,8
polas.,8
👁من يزور ملفك الشخصي في تويتر؟,8
erased88075,7
Faxo.com,7
Commun.it,7
Twitpic,6
Twitter Media Studio,6
Foursquare,6
TweetMeme,6
.حسنات,6
Viber,6
سيارات جورجيا1,5
LazyUnfollow IPhone,5
رتوتليiOS,4
Live Me,4
TwitThis,4
"""unfollow"" for iPhone",4
Followers+ for Android,4
erased8494387,4
Tweetings for  Windows,4
twitpic,3
erased4110153,3
TweetingMachine,3
SocialLogin by arpit’s Projects,3
tweetweet-تويت ويت on iOS,3
TLampApp,3
Sarahah.com,3
josukmofdgktezzamudi,3
TikTok - Make Your Day,3
erased14218963,2
FlockOfBirds (old),2
PlayStation(R)4,2
Sony Xperia™ smartphone,2
api,2
Social by Nokia,2
Who Unfollowed Me,2
tweetdelete.net,2
Twitter for Nokia S40,2
twiends.com,2
YouTube on iOS,2
AppV37.91,2
Ads API Internal Test App,2
الغاليريا,1
erased14217292,1
erased14217242,1
erased14218872,1
Fun140,1
erased14218886,1
Notifier for Chrome,1
erased14217117,1
LocateMe by LocateMe,1
Fewvlind Librad Residential,1
erased14216960,1
Awario.com,1
موقع مغرد,1
erased14207407,1
مغردون,1
erased14215328,1
7nujoom,1
قارئ القرآن,1
erased14215966,1
erased14216506,1
erased14216752,1
Bitly,1
Cavrlv Hallv Residential,1
ChildBook,1
Cinireeq Gibsonq Residential,1
erased14216616,1
erased14216633,1
erased14216749,1
Ow.ly,1
Zonferowq Woonq Residential,1
Quickshot by Broadqast,1
erased14702848,1
erased8240397,1
Wurioust Aquariust Residential,1
erased14182596,1
erased14183593,1
Wuriousk Stephenk Residential,1
gandlinge Mariae Residential,1
Vratore Halle Residential,1
Vratorb Harveyb Residential,1
ipoguomfdgkanbarrie,1
erased14183639,1
Tyrants Fall Without Support,1
erased15864827,1
lineSmace Thompsone Residential,1
Twitter for Google TV,1
erased14683372,1
RYF 173,1
erased14682484,1
erased14630531,1
erased14183711,1
erased14183722,1
erased14207372,1
erased14219032,1
Ssneyjoubleer,1
Sristop Librap Residential,1
tweet 3rbi,1
Shareaholic.com,1
twitterberry,1
Samsung Mobile,1
STATUSEM,1
vermudaf Barrettf Residential,1
erased14183834,1
